title,category,address,Postal Code,latitude,longitude
Ark Move Woodleigh,Gym,"462 Upper Serangoon Rd, Singapore 534496",534496,1.3438125,103.8709375
XYCO Studio,Gym,"22 Martin Rd, #02-02, Singapore 239058",239058,1.2918125,103.8384375
F45 Training Jurong West,Gym,"7 Jurong West Ave 5, #02-05, Singapore 649486",649486,1.3488125,103.7034375
Dennis Gym - Farrer Park,Gym,"159b kitchener Road Singapore 208530, Singapore 280530",280530,1.3101875,103.8568125
JR Fitness Singapore (Novena),Gym,"55 Newton Rd, #05-02, Singapore 307987",307987,1.3199375,103.8421875
EQUIP,Gym,"78 Rifle Range Rd, Singapore 588384",588384,1.3409375,103.7794375
The Gym Pod @ Punggol Park,Gym,"Hougang Ave 10, Singapore 538768",538768,1.3775625,103.8973125
Rev Fight Club,Gym,"46 South Bridge Rd, #02-02, Singapore 058679",58679,1.2878125,103.8481875
SWEAT!,Gym,"4 Everton Park, #01-50, Singapore 080004",80004,1.2769375,103.8401875
Anytime Fitness Sengkang Rivervale,Gym,"Rivervale Mall, 11 Rivervale Cres, #02-01, Singapore 545082",545082,1.3923125,103.9045625
The Lab Fitness SG,Gym,"7 One-North Gtwy, #01-15, Singapore 138642",138642,1.3024375,103.7899375
Amore Fitness & Define,Gym,"Sengkang West Avenue 02-38, 33 Sengkang West Ave, #33 The Seletar Mall, Singapore 797653",797653,1.3913125,103.8764375
Trium Fitness,Fitness center,"12 Kallang Ave, #03-01, Singapore 339511",339511,1.3093125,103.8641875
Amore Fitness & Define,Gym,"03-17, 63 Jurong West Central 3, #2 Jurong Point, Singapore 648331",648331,1.3393125,103.7054375
Anytime Fitness D'Arena Jurong,Gym,"511 Upper Jurong Rd, #02-05 Anytime Fitness D'Arena, Singapore 638366",638366,1.3294375,103.6823125
Sparkd | The Brain & Fitness Hub,Gym,"46 Kim Yam Road The Herencia Unit 04-23 & 24, Singapore 239351",239351,1.2928125,103.8386875
The Ring Boxing Community (Kim Yam Road),Boxing gym,"58 Kim Yam Rd, #01-01, Singapore 239359",239359,1.2929375,103.8395625
Yio Chu Kang ActiveSG Gym,Gym,"200 Ang Mo Kio Ave 9, Singapore 569770",569770,1.3821875,103.8459375
The Little Gym,Gym,"FORUM The Shopping Mall, B1-24, 583 Orchard Road, 583 Orchard Rd, B1-24, Singapore 238884",238884,1.30625,103.82875
CruCycle,Fitness center,"68 Duxton Rd, #01-01, Singapore 089527",89527,1.2780625,103.8429375
The Little Gym of Singapore East,Gym,"6 Raffles Blvd, 164 Marina Square, #03-163, Singapore 039594",39594,1.2920625,103.8565625
Ark Move West Coast,Gym,"2 Clementi West Street 2, #03-01 West Coast Community Club, Singapore 129605",129605,1.3028125,103.7650625
The Gym Pod @ Alexandra Technopark,Gym,"438A Alexandra Rd, Alexandra Technopark, Singapore 119967",119967,1.2778125,103.8008125
Ultimate Performance Personal Trainers Singapore,Personal trainer,"8 Cross Street Ground Floor, Singapore 048424",48424,1.2826875,103.8490625
BearyFun Gym @ Bukit Batok,Gymnastics center,"2 Bukit Batok Street 22, Singapore 659581",659581,1.3443125,103.7483125
Dennis Gym Hq,Gym,"30 Tai Seng St, #08 04A, Singapore 534013",534013,1.3343125,103.8895625
Cut Gym,Gym,"144 Neil Rd, Singapore 088873",88873,1.2783125,103.8406875
Fortitude Martial Arts & Fitness,Martial arts school,"320c King George's Ave, Singapore 208564",208564,1.3096875,103.8619375
Urban Active Fitness,Personal trainer,"105 Cecil St, #13-01 The Octagon, Singapore 069534",69534,1.2806875,103.8491875
Anytime Fitness Tanjong Katong,Gym,"174/176 E Coast Rd, Singapore 428880",428880,1.3066875,103.9063125
9Round East Coast Road,Gym,"131 E Coast Rd, #02-01, Singapore 428816",428816,1.3061875,103.9049375
oompf! fitness,Personal trainer,"130 E Coast Rd, Singapore 428815",428815,1.3060625,103.9053125
"BFIT | Physio, Sports & Fitness (Katong, East Coast)",Physical therapist,"66 E Coast Rd, Unit 05-01 The Flow @ East Coast, Singapore 428778",428778,1.3048125,103.9036875
Anytime Fitness Kembangan,Gym,"398 Changi Rd, #01-03, Singapore 419845",419845,1.3186875,103.9114375
Anytime Fitness Marine Parade Central,Gym,"86 Marine Parade Central, #01-670, Singapore 440086",440086,1.3018125,103.9069375
Inspire Fitness Asia,Muay Thai boxing gym,"462B Joo Chiat Rd, Singapore 427674",427674,1.3061875,103.9045625
Tribody Fitness,Gym,"50 Joo Chiat Pl, Singapore 427774",427774,1.3134375,103.9014375
The Kampung Gym,Gym,"47 Guillemard Rd, Singapore 399703",399703,1.3096875,103.8784375
Ritual Gym East Coast,Gym,"451 Joo Chiat Rd, #03-12, Singapore 427664",427664,1.3069375,103.9045625
Gymmboxx JCube,Gym,"2 Jurong East Central 1, #03-04 to 06 JCube, Singapore 609731",609731,1.3330625,103.7404375
Higher Performance SG,Gym,"188-6 Tanjong Katong Rd, Singapore 436990",436990,1.3091875,103.8944375
Anytime Fitness,Gym,"11 Tanjong Katong Rd, Singapore 437157",437157,1.3143125,103.8944375
Genesis Gym,Personal trainer,"354, #01-06 Alexandra Rd, Alexis Condominium, Singapore 159948",159948,1.2915625,103.8076875
Evolve MMA (Far East Square),Martial arts school,"26 China Street, #01-01 Far East Square, Singapore 049568",49568,1.2829375,103.8479375
Hercules Fitness Gym,Gym,"176 Joo Chiat Rd, #02-01, Singapore 427447",427447,1.3125625,103.9000625
Tesseract Fitness (IFBB) Pte Ltd,Gym,"492 Changi Rd, Singapore 419900",419900,1.3191875,103.9138125
Sync Cycle East Coast,Fitness center,"282 E Coast Rd, Singapore 428946",428946,1.3081875,103.9090625
BXG Boxing & Fitness,Muay Thai boxing gym,"356 Tanjong Katong Rd, Singapore 437119",437119,1.3034375,103.8966875
Cecil Street Anytime Fitness,Gym,"139 Cecil St, #04-01, Singapore 069539",69539,1.2795625,103.8484375
Spartans Boxing Club Joo Chiat,Boxing gym,"393 Joo Chiat Rd, Singapore 427625",427625,1.3078125,103.9038125
24XFITNESS Bugis,Gym,"112 Middle Rd, #02-00 Midland House, Singapore 188970",188970,1.2990625,103.8538125
D'Fitness,Personal trainer,"20B E Coast Rd, Level B, Singapore 428747",428747,1.3040625,103.9024375
Beatfactory Fitness Pte. Ltd.,Fitness center,"545 Orchard Road #10-11 Far East Shopping Centre, Singapore 238882",238882,1.3055625,103.8300625
F45 Tanjong Katong,Gym,"216 Tanjong Katong Rd, Singapore 437009",437009,1.3073125,103.8953125
Anytime Fitness Serangoon Garden,Gym,"53 Serangoon Garden Way, Singapore 555949",555949,1.3633125,103.8658125
Anytime Fitness Upper Cross Street,Gym,"531 Upper Cross Street #01-07, Hong Lim Complex, Singapore 050531",50531,1.2840625,103.8459375
Fitness First - Alexandra (Mapletree Business City),Gym,"20 Pasir Panjang Road #07-29 Mapletree Business City, Singapore 117439",117439,1.2750625,103.7990625
Ritual Gym Raffles Place,Gym,"11 N Canal Rd, #03-01, Singapore 048824",48824,1.28625,103.84875
Barry’s Singapore Raffles Place,Gym,"18 Robinson Rd, #03-03, Singapore 048547",48547,1.2816875,103.8505625
Field Assembly Clarke Quay,Gym,"39 Carpenter Street, Levels 1, 3 & 4, Singapore 059918",59918,1.2879375,103.8478125
Encore Muay Thai Fitness,Muay Thai boxing gym,"452a Joo Chiat Rd, Singapore 427665",427665,1.3064375,103.9044375
Jurong East ActiveSG Gym,Gym,"21 Jurong East Street 31, Singapore 609517",609517,1.3468125,103.7291875
BoOm Singapore,Gym,"62 Cecil St, B1-00 TPI Building, Singapore 049710",49710,1.2820625,103.8495625
Contours Express Women's Gym Serangoon,Gym,"253 Serangoon Central Dr, #02-227, Singapore 550253",550253,1.3540625,103.8709375
MSFIT Personal Training Clarke Quay,Gym,"19 Hongkong St, #01-01, Singapore 059662",59662,1.2878125,103.8471875
Gold's Gym Personal Training - Tanjong Katong,Personal trainer,"218 Tanjong Katong Rd, Singapore 437010",437010,1.3071875,103.8953125
F45 Training Siglap,Gym,"52 Burnfoot Terrace, Frankel Estate, Singapore 459838",459838,1.3128125,103.9228125
Gold's Gym Personal Training,Personal trainer,"2 International Business Park, #01-05 The Strategy, Singapore 609930",609930,1.3301875,103.7471875
Gold's Gym Personal Training - Joo Chiat,Personal trainer,"428 Joo Chiat Rd, Singapore 427645",427645,1.3066875,103.9040625
UFC GYM Singapore City Square Mall,Gym,"180 Kitchener Rd, #06-02/04, Singapore 208539",208539,1.3114375,103.8565625
Anytime Fitness Greenwich V,Gym,"1 Seletar Rd, #02-05/06 Greenwich V, Singapore 807011",807011,1.3875625,103.8695625
R10T,Gym,"140 Robinson Rd, Level 3, Singapore 068907",68907,1.2784375,103.8483125
Anytime Fitness Bedok Central,Gym,"445 Bedok North Street 1, #03-01 Djitsun Mall, Singapore 469661",469661,1.3260625,103.9294375
Pilates Fitness (Serangoon),Pilates studio,"85A Serangoon Garden Way, Singapore 555981",555981,1.3639375,103.8649375
Ground Zero - Cross Street Exchange,Gym,"18 Cross St, #B1-120, Singapore 048423",48423,1.2835625,103.8470625
Anytime Fitness Bukit Panjang,Gym,"8 Pending Rd, #03-01, Singapore 678295",678295,1.3763125,103.7708125
The PIT,Personal trainer,"123 Devonshire Rd, Singapore 239883",239883,1.2998125,103.8363125
PURE Fitness Suntec City,Gym,"#03-318 to 323 3 Temasek Boulevard Suntec City Mall North Wing, Singapore 038983",38983,1.2959375,103.8584375
The System Gym,Gym,"23 Kampong Bahru Rd, #01-01, Singapore 169349",169349,1.2771875,103.8366875
Core Collective Dempsey,Wellness center,"27a Loewen Rd, #27A, 30B/C 27a, Singapore 248839",248839,1.3035625,103.8119375
Reshape Sports,Gym,"3 Lor Liput, #02-03, Singapore 277725",277725,1.3106875,103.7951875
F45 Training Downtown East Singapore,Fitness center,"1 Pasir Ris Cl, #02-343 E! Avenue, Singapore 519599",519599,1.3778125,103.9555625
